Data;Godzina:;Otwarcie:;Wartoœæ najwy¿sza:;Wartoœæ najni¿sza:;Zamkniêcie:
27.lut;12:00;57,28;57,285;57,235;57,235
27.lut;16:00;56,945;56,95;56,935;56,94
27.lut;20:00;56,93;56,976;56,905;56,975
28.lut;08:00;56,89;56,89;56,825;56,868
28.lut;12:00;57,037;57,05;57,015;57,046
28.lut;16:00;57,2;57,2;57,185;57,185
28.lut;20:00;57,345;57,39;57,345;57,375
01.mar;08:00;57,245;57,287;57,225;57,225
01.mar;12:00;55,72;55,73;55,655;55,66
01.mar;16:00;55,78;55,78;55,735;55,745
03.mar;20:00;56,03;56,04;56,015;56,025
04.mar;08:00;56,265;56,265;56,235;56,235
04.mar;12:00;56,295;56,325;56,265;56,305
04.mar;16:00;56,475;56,485;56,475;56,475
04.mar;20:00;56,365;56,385;56,355;56,385
05.mar;08:00;56,795;56,805;56,765;56,765
05.mar;12:00;56,485;56,485;56,455;56,465
05.mar;16:00;56,515;56,515;56,485;56,485
05.mar;20:00;56,135;56,135;56,105;56,105
06.mar;08:00;55,935;55,935;55,895;55,895
06.mar;12:00;55,905;55,935;55,875;55,915
06.mar;16:00;56,195;56,195;56,185;56,185
06.mar;20:00;56,085;56,105;56,065;56,105
07.mar;08:00;56,885;56,895;56,855;56,875
07.mar;12:00;56,645;56,645;56,615;56,625
07.mar;16:00;56,525;56,535;56,515;56,515
07.mar;20:00;56,375;56,395;56,365;56,395
08.mar;08:00;55,355;55,355;55,295;55,325
08.mar;12:00;54,925;55,005;54,925;55,005
08.mar;16:00;56,085;56,085;56,075;56,075
10.mar;20:00;56,13;56,138;56,063;56,08
11.mar;08:00;56,43;56,456;56,415;56,425
11.mar;12:00;56,625;56,672;56,622;56,65
11.mar;16:00;56,745;56,75;56,735;56,745
11.mar;20:00;56,972;56,978;56,96;56,962
12.mar;08:00;57,36;57,37;57,296;57,32
12.mar;12:00;56,891;56,93;56,89;56,906
12.mar;16:00;57,045;57,06;57,035;57,055
12.mar;20:00;57,14;57,183;57,133;57,181
13.mar;08:00;57,53;57,65;57,47;57,645
13.mar;12:00;57,94;57,942;57,9;57,901
13.mar;20:00;58,255;58,285;58,235;58,285
14.mar;08:00;58,475;58,495;58,425;58,485
14.mar;12:00;58,57;58,577;58,555;58,57
14.mar;20:00;58,53;58,553;58,52;58,553
15.mar;08:00;58,093;58,231;58,093;58,231
15.mar;12:00;58,5;58,51;58,485;58,5
