data;godzina;otwarcie;zamkniecie;max;min
20190301;160000;0.999060;0.999070;0.998880;0.998880
20190303;200000;0.998820;0.998850;0.998790;0.998840
20190304;80000;1.001490;1.001560;1.001470;1.001550
20190304;120000;0.999430;0.999510;0.999430;0.999440
20190304;160000;0.998590;0.998690;0.998580;0.998670
20190304;200000;0.999270;0.999270;0.999270;0.999270
20190305;80000;1.001270;1.001270;1.000940;1.000950
20190305;120000;1.004550;1.004560;1.004450;1.004540
20190305;160000;1.004280;1.004280;1.004260;1.004280
20190305;200000;1.004670;1.004720;1.004660;1.004720
20190306;80000;1.004700;1.004710;1.004520;1.004550
20190306;120000;1.003910;1.003930;1.003850;1.003900
20190306;160000;1.004670;1.004800;1.004670;1.004760
20190306;200000;1.004200;1.004200;1.004190;1.004200
20190307;80000;1.006730;1.006890;1.006570;1.006740
20190307;120000;1.010560;1.010600;1.010430;1.010460
20190307;160000;1.012010;1.012090;1.011970;1.011970
20190307;200000;1.011520;1.011520;1.011380;1.011400
20190308;80000;1.009290;1.009330;1.009250;1.009290
20190308;120000;1.007340;1.007370;1.007240;1.007270
20190308;160000;1.008060;1.008070;1.007960;1.007960
20190310;200000;1.007880;1.007890;1.007870;1.007880
20190311;80000;1.009620;1.009740;1.009560;1.009680
20190311;120000;1.011300;1.011340;1.011240;1.011280
20190311;160000;1.010600;1.010600;1.010410;1.010410
20190311;200000;1.009910;1.009910;1.009900;1.009910
20190312;80000;1.008240;1.008300;1.008180;1.008240
20190312;120000;1.006690;1.006690;1.006600;1.006690
20190312;160000;1.007490;1.007490;1.007490;1.007490
20190312;200000;1.007410;1.007420;1.007390;1.007420
20190313;80000;1.006510;1.006600;1.006380;1.006570
20190313;120000;1.004900;1.005020;1.004900;1.004920
20190313;160000;1.003650;1.003650;1.003310;1.003440
20190313;200000;1.003190;1.003240;1.003160;1.003190
20190314;80000;1.004520;1.004640;1.004450;1.004640
20190314;120000;1.004220;1.004360;1.004210;1.004330
20190314;160000;1.003700;1.003750;1.003660;1.003750
20190314;200000;1.003850;1.003850;1.003760;1.003820
20190315;80000;1.005090;1.005140;1.005010;1.005020
20190315;120000;1.002990;1.003010;1.002890;1.002890
